epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,valid_mae_epoch,valid_mse_epoch
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
16,,,849,0.8045874834060669,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
,8.64423076923077e-05,8.64423076923077e-05,899,,,
16,,,899,0.2179751694202423,,
16,,,900,,0.47287097573280334,0.342162162065506
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
,9.125e-05,9.125e-05,949,,,
17,,,949,0.21112245321273804,,
17,,,953,,0.4524691700935364,0.3183172345161438
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
,9.605769230769231e-05,9.605769230769231e-05,999,,,
